,i_i_glide_lignum,r_i_docking_score,SMILES
138,20398,-10.6436,CCCC(=O)Nc1nc2ccc(NC(=O)c3ccccc3F)cc2s1
139,5850,-10.6386,Cn1c(=O)n(C)c2nc(NC(=O)CCC(=O)N3CCC(C)(c4ccccc4)CC3)ccc21
140,14581,-10.6315,O=C([C@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1ccc2ccccc2c1)N1CCC[C@H](O)CC1
141,4998,-10.6295,NC(=O)C[C@H]1CN(C(=O)NCC2(c3cccc(Br)c3)CC2)C[C@@H]1O
142,2033,-10.6265,CCc1nnc([C@@H]2C[C@@H](O)CN2C(=O)Cc2coc3cc(C)c(C)cc23)o1
143,9455,-10.6219,O=C(NC[C@H](O)CO)OCC1c2ccccc2-c2ccccc21
144,2167,-10.6166,O=C([C@@H](O)C1(O)CCC1)N1CCC(Cc2cc(F)ccc2F)CC1
145,724,-10.6149,O=C(c1ccc(-n2ccc(C(F)(F)F)n2)cc1)N1CCC([C@H](O)c2ccccc2)CC1
146,16041,-10.6133,O=C(N[C@@H](CN1CCCC1=O)c1ccccc1)[C@H]1CCCN(C(=O)Cc2ccc(F)cc2)C1
147,9812,-10.6054,O=C(c1ccc(F)cc1)N1CCCN(C(=O)[C@H](O)c2ccc(Cl)cc2F)CC1
148,16887,-10.6024,O=C(c1ccc(-c2cnco2)cc1)N1CCC[C@@](O)(C(F)(F)F)CC1
149,9050,-10.6019,Cc1cccc(N2C(=O)N[C@@H](CCC(=O)N3Cc4ccccc4-c4ccccc4C3)C2=O)c1
150,2362,-10.5929,Cc1cc(C(=O)N2CC[C@@](F)(c3cccc(C(F)(F)F)c3)C2)nc2nc(O)[nH]c(=O)c12
151,10542,-10.5918,C[C@]1(c2cccc(-c3noc(CN4CCc5ccccc5C4=O)n3)c2)NC(=O)NC1=O
152,8322,-10.5913,O=C(c1cnc2ccccc2c1)N1CCC[C@@](O)(C(F)(F)F)CC1
153,13594,-10.59,COc1ccc([C@H](NC(=O)NCc2nc(-c3ccco3)n[nH]2)c2ccc(C)cc2)cc1
154,5761,-10.5868,Cc1ccc(CNC(=O)C2CCN(C(=O)N[C@H]3C[C@@H](c4ccccc4)C3)CC2)cc1F
155,10333,-10.5749,O=C(NCc1ccc2c(c1)CCC2)c1ccc(NS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1
156,17342,-10.5704,CC(=O)Nc1c[nH]nc1[C@@H]1CCCN(C(=O)Cc2coc3cc(C)c(C(C)C)cc23)C1
157,19608,-10.5682,CC1(C)C[C@@H](NC(=O)CCc2nc(-c3cccs3)no2)c2ccc(F)cc2O1
158,6162,-10.5661,O=C(Cc1cccc(F)c1)NCC(=O)N1CCNC(=O)[C@H]1c1ccccc1F
159,16714,-10.5605,CC(=O)N1CCc2cc(C(=O)NC[C@@H](O)c3cc(C)cc(C)c3)ccc21
160,705,-10.5569,CC(C)(C)c1nc(CCNC(=O)N[C@H]2c3ccccc3C[C@H]2O)cs1
161,17904,-10.5565,NC(=O)c1cc(NC(=O)N2CCOC[C@@H]2[C@@H]2CCCC[C@H]2O)ccc1F
162,19258,-10.5518,CC(C)Oc1ccc([C@H](O)CNC(=O)C[C@H](C)c2ccc(F)cc2F)cc1
163,11511,-10.5463,NC(=O)c1cc(NC(=O)N2CCCCC[C@@H]2c2noc(-c3ccccc3)n2)ccc1F
164,10425,-10.5455,O=C1CC[C@@H](NC(=O)CCc2ncc(-c3ccc(F)cc3)o2)C(=O)N1
